id,+/-,politics,check
82,+,加速台61跨溪南延 直抵安平再接台86 串聯快速路網便捷市民交通,"台61線西濱快速道路跨曾文溪景觀大橋一波三折，2020 年初通過建設計畫，因為持續流標在 2022 年 8 月追加 30 億元預算，原訂 9 月辦理招標工作，但迄今仍未完成招標工作，完工日期持續推延；另一安平漁港跨港大橋也是面臨多次流標情況，預算持續追加，至今仍未動工。
"
83,+,打造未來城鎮示範場域 多元實現區域均衡 發展智慧綠能產業,"沙崙智慧綠能循環住宅園區已經在 2021 年完工啟用，只是鄰近園區的招商並未有明顯突破，期待的智慧綠能產業聚落還不知道什麼時候會形成；這樣由上而下的政策引導開發讓許多資源出現閒置的空窗期，加上近來景氣出現反轉向下的現象，招商的腳步需要再加把勁。
"
84,+,停車空間物聯上網 不只找到停車格 更能找到空的停車格,"停車位的物聯網已經可以看到實際應用，但資訊的可信賴程度不高，民眾不容易倚賴系統資訊找到對應停車空間，需要更完整的資訊基礎建設才能夠讓服務品質提昇。
"
85,+,加速市地重劃等都市開發 緩解市中心人口壓力 改善交通及生活品質,"台南的都市計畫有感的改變是大量公設保留地解編，公共設施需求缺口一直沒有明顯改善，許多新的重劃區並未落實原有規劃，連基本的人行空間都被嚴重佔用，進出重劃區也容易出現交通瓶頸，急需更好的整體規劃與配套措施。
"
86,+,圍堵 疏洪及滯洪多管齊下 爭取中央經費持續改善台南水文,"台南防洪標準並未顯著提昇，加上極端氣候變化快速，既有的防洪措施很容易出現失靈情況；加上近年來為了發展太陽光電，許多漁塭填土設置光電設施，自然滯洪空間快速減少，防洪建設的效果也跟著打折，除了需要更多預算治水，也應該有效管理開發行為帶來的環境改變，才能讓台南真正免除洪水威脅。
"
87,+,加強產業及交通廢氣管制 改善空污無捷徑 多管齊下才清新,"台南自身的空污污染源不算多，偶爾出現的偷排、廢棄物燃燒或農牧業衍生的臭味是主要的民眾陳情原因，只是隨著科技大廠擴廠帶來的能源消耗，台南也開始有籌備中的新電廠，經濟發展帶來的產業空污只會持續增加，仍然需要相關單位的重視；烏賊車的管理在科技執法引入後效率提昇，就期待公共運輸能夠替代更多私人運具的使用，讓空氣污染源能夠進一步下降。
"
88,+,空污紅害期間 推出公共運輸優惠搭車 減少塞車及交通廢氣,"台南公共運輸的問題是路線不夠完整、班次不夠密集，因此空污紅害期間降價幫助不大，需要更深入民眾通勤需求帶出合適路線，並且讓班次頻率提高，讓服務品質跟上民眾期待才能夠進一步減少私人運具的使用。
"
89,+,加速溪北工業區開發及活化 建構完整農業產銷鏈 增加溪北就業機會,"溪北人口流失的速度還是沒有放慢的跡象，就業機會是一個很大的關鍵，只是現代化產線大多追求自動化比率，要靠工業區開發帶動就業機會增加的效果只會越來越差，需要更多扶植地方創生的資源投入，多元的產業發展才能夠讓更多年輕人回到家鄉。
"
90,-,政府資訊透明公開 強化市民政治信任 結合民力推動城市發展,"眼前政府資訊仍然有太多是選擇性公開，像是提供給議會、議員的各項資料並未同步公開，讓市民不容易理解議會討論的市政項目；其次就是公開統計數據的隱惡揚善問題，應該要同步公開內部定期彙整的資訊，這樣才能公私協力一起聚焦在城市發展的核心問題。
"
91,+,加速闢建無障礙空間及設施 保障身障朋友及高齡長輩 尊嚴地自由移動,"台南的友善騎樓政策執行逾 10 年，騎樓人行空間整平的路段遠不如預期，有步行需求的民眾大多選擇走在馬路上，進而讓交通事故死傷居高不下；騎樓的私有特性讓公共政策落實不易，應該透過完全公有的人行空間闢建著手，讓步行空間真的可以滿足身障朋友及高齡長輩期待。
"
92,+,中央減稅 地方跟進 房屋稅考量負擔能力 朝減輕稅賦來努力,"房屋稅在黃市長上任後直接調降回過去水平，後續推出的囤房稅也持續退縮到無助於市場的平衡，因此近年來房價高漲、年輕家庭快速減少，讓台南持續在生不如死的惡性循環中。
"
93,-,深化青年租屋補貼 提供只租不售青年公宅 讓台南青年宜居好成家,"台南公宅是六都唯一零完工，房東申報未落實讓許多青年根本無法申請租屋補貼，加上房價、租金仍然持續高漲，台南是越來越難成為年輕人成家的選擇。
"
94,-,打造南部食安重鎮 爭取國家級檢驗中心落腳台南 加速食安衛檢,"國家級檢驗中心最早是賴清德在 2015 的主張，主要是禽流感疫情持續在南部擴散，但檢驗卻得一直透過北部的檢驗中心進行缺乏效率，只是目前並未聽聞台南有國家級檢驗中心落腳的消息。
"
95,+,文化首府 從文化和美學站起 讓觀旅及文創增值,
96,+,產經重鎮 產業繁榮 創業機會 就業多元 交通便捷,
97,+,智慧新都,
98,+,創生城鄉,
99,+,希望家園,
100,+,城市發展五大主軸 文化首府 產經重鎮 智慧新都 創生城鄉 希望家園 做得更好 讓市民過得更好,
